Uid,Handle,Link,Party,Clickable URL
404132211,RepRickLarsen,https://twitter.com/RepRickLarsen,D,https://twitter.com/RepRickLarsen
153944899,RepLloydDoggett,https://twitter.com/RepLloydDoggett,D,https://twitter.com/RepLloydDoggett
58928690,RepAdamSmith,https://twitter.com/RepAdamSmith,D,https://twitter.com/RepAdamSmith
234022257,SeanDuffyWI,https://twitter.com/SeanDuffyWI,R,https://twitter.com/SeanDuffyWI
2930635215,RepNewhouse,https://twitter.com/RepNewhouse,R,https://twitter.com/RepNewhouse
1499993378,RepSanfordSC,https://twitter.com/RepSanfordSC,R,https://twitter.com/RepSanfordSC
2964526557,RepAlexMooney,https://twitter.com/RepAlexMooney,R,https://twitter.com/RepAlexMooney
816719802328715000,RepLizCheney,https://twitter.com/RepLizCheney,R,https://twitter.com/RepLizCheney
112740986,RepRonKind,https://twitter.com/RepRonKind,D,https://twitter.com/RepRonKind
19926675,RepKevinBrady,https://twitter.com/RepKevinBrady,R,https://twitter.com/RepKevinBrady
1083448909,RepFilemonVela,https://twitter.com/RepFilemonVela,D,https://twitter.com/RepFilemonVela
1206227149,repmarkpocan,https://twitter.com/repmarkpocan,D,https://twitter.com/repmarkpocan
17800215,jasoninthehouse,https://twitter.com/jasoninthehouse,D,https://twitter.com/jasoninthehouse
2970462034,RepKathleenRice,https://twitter.com/RepKathleenRice,D,https://twitter.com/RepKathleenRice
237750442,RepSteveChabot,https://twitter.com/RepSteveChabot,R,https://twitter.com/RepSteveChabot
18566912,RepHensarling,https://twitter.com/RepHensarling,R,https://twitter.com/RepHensarling
18916432,SpeakerRyan,https://twitter.com/SpeakerRyan,R,https://twitter.com/SpeakerRyan
219429281,RepKinzinger,https://twitter.com/RepKinzinger,R,https://twitter.com/RepKinzinger
299883942,CongPalazzo,https://twitter.com/CongPalazzo,R,https://twitter.com/CongPalazzo
242772524,RepFrankLucas,https://twitter.com/RepFrankLucas,R,https://twitter.com/RepFrankLucas
851621377,JimPressOffice,https://twitter.com/JimPressOffice,R,https://twitter.com/JimPressOffice
84119348,RepPaulTonko,https://twitter.com/RepPaulTonko,D,https://twitter.com/RepPaulTonko
33576489,RepBrianHiggins,https://twitter.com/RepBrianHiggins,D,https://twitter.com/RepBrianHiggins
815952318487298000,DrNealDunnFL2,https://twitter.com/DrNealDunnFL2,R,https://twitter.com/DrNealDunnFL2
960962340,RepAndyHarrisMD,https://twitter.com/RepAndyHarrisMD,R,https://twitter.com/RepAndyHarrisMD
3091316093,teammoulton,https://twitter.com/teammoulton,D,https://twitter.com/teammoulton
28602948,RepRaulGrijalva,https://twitter.com/RepRaulGrijalva,D,https://twitter.com/RepRaulGrijalva
36948268,RepGutierrez,https://twitter.com/RepGutierrez,D,https://twitter.com/RepGutierrez
3317799825,RepTrentKelly,https://twitter.com/RepTrentKelly,R,https://twitter.com/RepTrentKelly
37007274,repdonyoung,https://twitter.com/repdonyoung,R,https://twitter.com/repdonyoung
190328374,RepTomGraves,https://twitter.com/RepTomGraves,R,https://twitter.com/RepTomGraves
1064206014,TulsiPress,https://twitter.com/TulsiPress,D,https://twitter.com/TulsiPress
2914515430,RepTomEmmer,https://twitter.com/RepTomEmmer,R,https://twitter.com/RepTomEmmer
818713465653051000,RepDarrenSoto,https://twitter.com/RepDarrenSoto,D,https://twitter.com/RepDarrenSoto
823552974253342000,RepAnthonyBrown,https://twitter.com/RepAnthonyBrown,D,https://twitter.com/RepAnthonyBrown
828977216595849000,RepRutherfordFL,https://twitter.com/RepRutherfordFL,R,https://twitter.com/RepRutherfordFL
843636970538618000,RepClayHiggins,https://twitter.com/RepClayHiggins,R,https://twitter.com/RepClayHiggins
827279765287559000,RepMikeJohnson,https://twitter.com/RepMikeJohnson,R,https://twitter.com/RepMikeJohnson
818948638890217000,RepMattGaetz,https://twitter.com/RepMattGaetz,R,https://twitter.com/RepMattGaetz
816012124505931000,RepDavidKustoff,https://twitter.com/RepDavidKustoff,R,https://twitter.com/RepDavidKustoff
